entity_a_id,entity_b_id,entity_a_name,entity_b_name,match_score,merge_accepted
client_02666,client_04461,CLEAN FUELS ALLIANCE AMERICA (FKA NATIONAL BIODIESEL BOARD),"CLEAN FUEL ALLIANCE ""FKA NATIONAL BIODIESEL BOARD""",88.07,False
client_01476,client_04462,COALITION FOR THE 21ST CENTURY,COALITION FOR 21ST CENTURY MEDICINE,86.15,False
client_01485,client_04489,NATIONAL LIFELINE ASSOCIATION,NATIONAL MINING ASSOCIATION,85.71,False
client_01969,client_04489,NATIONAL HOME INFUSION ASSOCIATION,NATIONAL MINING ASSOCIATION,85.25,False
client_04498,client_04499,SACRAMENTO AREA FLOOD CONTROL AGENCY (SAFCA),SACRAMENTO AREA FLOOD CONTROL AGENCY,90.0,False
client_04455,client_04520,ASTRANIS SPACE TECHNOLOGIES CORP.,"ASTRANIS SPACE TECHNOLOGIES, INC.",90.91,False
client_03160,client_04584,SPR THERAPEUTICS,PRIME THERAPEUTICS,88.24,False
client_02356,client_04595,UTAH TRANSIT AUTHORITY (UTA),UTAH TRANSIT AUTHORITY,88.0,False
client_02346,client_04598,PARTNERSHIP FOR PART D ACCESS,PARTNERSHIP FOR PART D,86.27,False
client_03662,client_04603,ASSOCIATION FOR ACCESSIBLE MEDICINES,ASSOCIATION OF ACCESSIBLE MEDICINES,90.14,False
client_00989,client_04618,GE AEROSPACE,GKN AEROSPACE,88.0,False
client_01382,client_04619,GLAXOSMITHKLINE,GLAXOSMITHKLINE LLC,88.24,False
client_02418,client_04630,MALLINCKRODT,MALLINCKRODT LLC,85.71,False
client_01834,client_04632,NATIONAL FUNERAL DIRECTORS ASSN,NATIONAL FUNERAL DIRECTORS ASSOCIATION,89.86,False
client_02594,client_04648,ZERO EMISSION TRANSPORTATION ASSOCIATION,ZERO EMISSION TRANSPORTATION ASSOCIATION (ZETA),91.95,False
client_04048,client_04664,AEVEX AEROSPACE,"AEVEX AEROSPACE, LLC",85.71,False
client_04232,client_04667,AMERICAN AUTOMOBILE ASSOCIATION,AMERICAN AUTOMOTIVE LEASING ASSOCIATION,85.71,False
client_03075,client_04678,"AXON ENTERPRISE, INC.","COX ENTERPRISES, INC.",85.71,False
client_04062,client_04684,GEORGETOWN UNIVERSITY,GEORGE MASON UNIVERSITY,86.36,False
