entity_a_id,entity_b_id,entity_a_name,entity_b_name,match_score,merge_accepted
client_02143,client_04710,"VISA, U.S.A., INC.",VISA U.S.A. INC.,94.12,True
client_02107,client_04757,INTERNATIONAL SWAPS AND DERIVATIVES ASSOCIATION,INTERNATIONAL SWAPS AND DERIVATIVES TRADERS ASSOCIATION,92.16,True
client_00596,client_04822,CHILDREN'S HOSPITAL BOSTON,BOSTON CHILDREN'S HOSPITAL,100.0,True
client_00187,client_04969,PHARMACEUTICAL RESEARCH & MANUFACTURERS OF AMERICA INC,PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA,94.34,True
lobbyist_107241,lobbyist_44841,EMILY TRANTER,EMILY TRANTER,100.0,True
lobbyist_65415,lobbyist_141921,KEVIN KELLY,KEVIN KELLY,100.0,True
lobbyist_61426,lobbyist_143773,CHERYL JAEGER,CHERYL JAEGER,100.0,True
lobbyist_143844,lobbyist_36335,ROBERT VAN HEUVELEN,ROBERT VAN HEUVELEN,100.0,True
lobbyist_59931,lobbyist_117449,ALAN WHEAT,ALAN WHEAT,100.0,True
lobbyist_62301,lobbyist_106934,CHARLES FRENCH,CHARLES FRENCH,100.0,True
lobbyist_115306,lobbyist_50956,VALERIE WEST,VALERIE WEST,100.0,True
lobbyist_68539,lobbyist_59827,DAVID STEWART,DAVID STEWART,100.0,True
lobbyist_65005,lobbyist_73449,SARAH WALTER,SARAH WALTER,100.0,True
lobbyist_143888,lobbyist_143885,SAATHVIK ALETY,SAATHVIK ALETY,100.0,True
lobbyist_71625,lobbyist_45404,SAMUEL WHITEHORN,SAMUEL WHITEHORN,100.0,True
lobbyist_72632,lobbyist_46524,ROBERT CHAMBERLIN,ROBERT CHAMBERLIN,100.0,True
lobbyist_142911,lobbyist_68437,KELLI BRIGGS,KELLI BRIGGS,100.0,True
lobbyist_14319,lobbyist_27185,PAUL CAMBON,PAUL CAMBON,100.0,True
lobbyist_53077,lobbyist_145358,CHARLES COOPER,CHARLES COOPER,100.0,True
lobbyist_65202,lobbyist_141923,LAUREN LIPIN,LAUREN LIPIN,100.0,True
lobbyist_140648,lobbyist_102583,CAITLIN CANTER,CAITLIN CANTER,100.0,True
lobbyist_139812,lobbyist_136662,KRISTEN BAUTZ,KRISTEN BAUTZ,100.0,True
lobbyist_65204,lobbyist_141922,JASPER THOMSON,JASPER THOMSON,100.0,True
lobbyist_139482,lobbyist_7550,GRAHAM HILL,GRAHAM HILL,100.0,True
lobbyist_71621,lobbyist_65676,JULIE HRDLICKA,JULIE HRDLICKA,100.0,True
lobbyist_86091,lobbyist_65619,TODD WOOTEN,TODD WOOTEN,100.0,True
lobbyist_93141,lobbyist_58259,JEFFERIES MURRAY,JEFFERIES MURRAY,100.0,True
lobbyist_67392,lobbyist_146456,JOHN ARIALE,JOHN ARIALE,100.0,True
lobbyist_63604,lobbyist_141526,GREGORY LOUER,GREGORY LOUER,100.0,True
lobbyist_81439,lobbyist_58565,PAUL BOCK,PAUL BOCK,100.0,True
lobbyist_107248,lobbyist_60083,ROBERT CRAMER,ROBERT CRAMER,100.0,True
lobbyist_21772,lobbyist_107091,CLAYTON HEIL,CLAYTON HEIL,100.0,True
lobbyist_63815,lobbyist_63015,DAVID THOMPSON,DAVID THOMPSON,100.0,True
firm_317355,lobbyist_100728,JOSE FUENTES,JOSE FUENTES,100.0,True
lobbyist_139779,lobbyist_34215,JOHN LUNDY,JOHN LUNDY,100.0,True
lobbyist_65545,lobbyist_93667,SCOTT GRAVES,SCOTT GRAVES,100.0,True
lobbyist_141667,lobbyist_141674,MICHAEL HEATON,MICHAEL HEATON,100.0,True
